epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,299.049,1.19228,2.31456,1.82128,0.67378,0.83081,0.89162,0.53437,1.18646,4.33127,2.07091,0.000540231,0.000540231,0.000540231
2,598.334,1.09296,1.06621,1.6634,0.65557,0.46021,0.46212,0.25252,1.48513,2.60086,2.44779,0.000987404,0.000987404,0.000987404
3,895.669,1.08761,0.92438,1.65823,0.49272,0.56456,0.53614,0.26436,1.76672,1.83229,2.24645,0.00132455,0.00132455,0.00132455
4,1195.5,1.01328,0.79894,1.59601,0.50504,0.54631,0.5359,0.23176,1.89264,2.03865,2.62056,0.0011719,0.0011719,0.0011719
5,1491.97,1.03348,0.7319,1.58799,0.90685,0.91337,0.94892,0.57942,1.3249,0.77713,2.01448,0.00100687,0.00100687,0.00100687
6,1787.59,0.95896,0.73392,1.51172,0.50001,0.7661,0.685,0.3772,1.38874,1.96887,1.93323,0.000841835,0.000841835,0.000841835
7,2081.42,0.9123,0.61345,1.46181,0.88114,0.75,0.86845,0.60831,1.02184,0.95482,1.61262,0.000676802,0.000676802,0.000676802
8,2377.35,0.92424,0.60558,1.51067,0.90571,0.86868,0.93423,0.64893,1.08221,0.79015,1.64233,0.000511769,0.000511769,0.000511769
9,2675.71,0.83201,0.51537,1.42422,0.94181,0.89362,0.98302,0.74511,0.94491,0.56801,1.51502,0.000346736,0.000346736,0.000346736
10,2969.1,0.80084,0.45944,1.38706,0.90717,0.94444,0.9786,0.74591,0.94727,0.61252,1.52856,0.000181703,0.000181703,0.000181703
